job_id,project_id,user_email,dataset,table_name,creation_date,bytes_processed_tb,estimated_cost_gbp,duration_seconds,partition_filter_used,clustered_table,cache_hit,query_pattern
bq_job_00083,security-analytics-prod,data.engineer@company.com,audit_logs,access_logs,2026-05-14,13.46,68.63,4245,Yes,Yes,No,Partition scan
bq_job_00084,fraud-detection-prod,service-account@company.com,security_events,security_findings,2026-05-09,11.14,56.8,4919,No,No,Yes,Full table scan
bq_job_00085,customer-analytics-prod,service-account@company.com,finance_reporting,security_findings,2026-06-02,1.76,8.98,1024,No,No,Yes,Scheduled ELT
bq_job_00086,customer-analytics-prod,analyst@company.com,finance_reporting,payments,2026-05-11,1.24,6.34,6750,No,Yes,No,Scheduled ELT
bq_job_00087,customer-analytics-prod,data.engineer@company.com,ml_features,payments,2026-05-31,0.27,1.37,3965,Yes,Yes,No,Partition scan
bq_job_00088,customer-analytics-prod,analyst@company.com,security_events,security_findings,2026-05-15,6.02,30.71,1647,Yes,No,No,Dashboard refresh
bq_job_00089,risk-reporting-prod,service-account@company.com,security_events,transaction_fact,2026-05-27,1.69,8.62,4738,No,Yes,No,Full table scan
bq_job_00090,customer-analytics-prod,analyst@company.com,curated_warehouse,audit_evidence,2026-05-24,13.02,66.39,3259,Yes,No,No,Join-heavy query
bq_job_00091,customer-analytics-prod,analyst@company.com,ml_features,audit_evidence,2026-05-19,20.56,104.86,5576,Yes,No,No,Full table scan
bq_job_00092,fraud-detection-prod,data.engineer@company.com,curated_warehouse,customer_profile,2026-05-29,30.06,153.33,5521,No,Yes,No,Dashboard refresh
bq_job_00093,customer-analytics-prod,analyst@company.com,finance_reporting,audit_evidence,2026-06-07,0.26,1.33,2184,No,Yes,No,Dashboard refresh
bq_job_00094,customer-analytics-prod,analyst@company.com,audit_logs,events_daily,2026-05-26,0.3,1.51,6232,Yes,No,Yes,Full table scan
bq_job_00095,data-platform-prod,data.engineer@company.com,security_events,customer_profile,2026-05-23,7.55,38.52,7129,No,No,Yes,Dashboard refresh
bq_job_00096,fraud-detection-prod,analyst@company.com,security_events,audit_evidence,2026-05-12,16.56,84.47,6103,Yes,Yes,No,Partition scan
bq_job_00097,customer-analytics-prod,analyst@company.com,audit_logs,control_results,2026-05-30,39.41,201.0,6718,Yes,No,No,Partition scan
bq_job_00098,security-analytics-prod,data.engineer@company.com,raw_ingestion,customer_profile,2026-05-10,6.43,32.78,6494,Yes,No,No,Ad-hoc analysis
bq_job_00099,data-platform-prod,analyst@company.com,ml_features,payments,2026-06-05,7.28,37.12,2763,Yes,Yes,Yes,Dashboard refresh
bq_job_00100,fraud-detection-prod,data.engineer@company.com,security_events,payments,2026-05-27,0.89,4.53,2432,Yes,Yes,No,Dashboard refresh
bq_job_00101,fraud-detection-prod,analyst@company.com,audit_logs,security_findings,2026-05-15,0.19,0.98,257,No,Yes,No,Join-heavy query
bq_job_00102,risk-reporting-prod,data.engineer@company.com,raw_ingestion,customer_profile,2026-06-04,2.72,13.86,109,Yes,Yes,No,Full table scan
bq_job_00103,risk-reporting-prod,service-account@company.com,ml_features,control_results,2026-06-02,48.7,248.37,3420,Yes,No,Yes,Dashboard refresh
bq_job_00104,data-platform-prod,data.engineer@company.com,audit_logs,control_results,2026-06-07,7.12,36.29,1456,No,No,No,Partition scan
bq_job_00105,security-analytics-prod,service-account@company.com,curated_warehouse,events_daily,2026-06-06,4.07,20.76,1569,No,No,No,Join-heavy query
bq_job_00106,data-platform-prod,analyst@company.com,curated_warehouse,customer_profile,2026-05-22,1.02,5.18,3855,Yes,No,No,Join-heavy query
bq_job_00107,customer-analytics-prod,data.engineer@company.com,security_events,payments,2026-05-10,0.62,3.15,5448,Yes,Yes,No,Ad-hoc analysis
bq_job_00108,fraud-detection-prod,service-account@company.com,audit_logs,control_results,2026-05-11,5.98,30.52,4760,No,Yes,No,Ad-hoc analysis
bq_job_00109,risk-reporting-prod,data.engineer@company.com,curated_warehouse,audit_evidence,2026-06-06,38.39,195.78,1430,No,No,No,Partition scan
bq_job_00110,customer-analytics-prod,analyst@company.com,customer_events,transaction_fact,2026-05-25,23.71,120.9,3623,Yes,Yes,Yes,Full table scan
bq_job_00111,fraud-detection-prod,data.engineer@company.com,customer_events,payments,2026-05-14,1.15,5.87,5640,No,No,No,Dashboard refresh
bq_job_00112,risk-reporting-prod,service-account@company.com,customer_events,security_findings,2026-05-31,7.53,38.38,3626,No,Yes,No,Full table scan
bq_job_00113,security-analytics-prod,data.engineer@company.com,finance_reporting,payments,2026-05-12,5.27,26.88,7132,No,No,No,Dashboard refresh
bq_job_00114,security-analytics-prod,analyst@company.com,curated_warehouse,security_findings,2026-05-21,2.03,10.37,2405,No,No,No,Scheduled ELT
bq_job_00115,customer-analytics-prod,service-account@company.com,finance_reporting,transaction_fact,2026-05-12,48.84,249.08,3285,No,No,No,Scheduled ELT
bq_job_00116,fraud-detection-prod,service-account@company.com,finance_reporting,control_results,2026-06-05,3.84,19.57,3079,No,Yes,Yes,Join-heavy query
bq_job_00117,risk-reporting-prod,data.engineer@company.com,ml_features,transaction_fact,2026-06-07,1.13,5.78,4012,Yes,Yes,No,Scheduled ELT
bq_job_00118,security-analytics-prod,analyst@company.com,customer_events,events_daily,2026-05-12,1.25,6.36,6741,No,No,No,Full table scan
bq_job_00119,data-platform-prod,data.engineer@company.com,finance_reporting,customer_profile,2026-05-31,44.99,229.44,5190,Yes,No,No,Scheduled ELT
bq_job_00120,risk-reporting-prod,service-account@company.com,raw_ingestion,transaction_fact,2026-05-20,57.22,291.85,5318,No,Yes,No,Ad-hoc analysis
bq_job_00121,customer-analytics-prod,service-account@company.com,ml_features,payments,2026-05-10,0.79,4.03,5634,Yes,Yes,Yes,Partition scan
bq_job_00122,data-platform-prod,analyst@company.com,curated_warehouse,payments,2026-05-15,1.5,7.64,5729,Yes,No,No,Join-heavy query
bq_job_00123,data-platform-prod,service-account@company.com,raw_ingestion,access_logs,2026-05-23,10.96,55.88,1600,Yes,No,Yes,Scheduled ELT
bq_job_00124,security-analytics-prod,service-account@company.com,audit_logs,payments,2026-06-01,3.85,19.62,2690,No,Yes,No,Ad-hoc analysis
bq_job_00125,fraud-detection-prod,data.engineer@company.com,curated_warehouse,security_findings,2026-05-10,57.05,290.96,6090,Yes,Yes,No,Scheduled ELT
bq_job_00126,customer-analytics-prod,service-account@company.com,ml_features,transaction_fact,2026-05-12,2.47,12.6,2510,No,No,Yes,Dashboard refresh
bq_job_00127,risk-reporting-prod,service-account@company.com,security_events,control_results,2026-06-07,27.32,139.33,5288,No,Yes,No,Scheduled ELT
bq_job_00128,risk-reporting-prod,service-account@company.com,curated_warehouse,control_results,2026-05-19,0.42,2.15,2133,No,No,Yes,Scheduled ELT
bq_job_00129,fraud-detection-prod,service-account@company.com,curated_warehouse,control_results,2026-05-30,17.41,88.77,351,No,No,No,Partition scan
bq_job_00130,security-analytics-prod,data.engineer@company.com,security_events,customer_profile,2026-05-16,36.17,184.49,4867,Yes,Yes,No,Partition scan
bq_job_00131,customer-analytics-prod,analyst@company.com,raw_ingestion,security_findings,2026-05-26,0.85,4.33,2073,Yes,No,No,Scheduled ELT
bq_job_00132,fraud-detection-prod,data.engineer@company.com,customer_events,payments,2026-05-09,1.06,5.42,1779,Yes,No,No,Full table scan
bq_job_00133,customer-analytics-prod,service-account@company.com,finance_reporting,payments,2026-05-22,0.36,1.85,5896,No,No,No,Scheduled ELT
bq_job_00134,security-analytics-prod,analyst@company.com,audit_logs,payments,2026-05-30,1.21,6.18,3952,No,Yes,No,Dashboard refresh
bq_job_00135,security-analytics-prod,analyst@company.com,security_events,access_logs,2026-05-16,3.08,15.7,4580,Yes,Yes,Yes,Ad-hoc analysis
bq_job_00136,risk-reporting-prod,service-account@company.com,security_events,control_results,2026-06-04,55.07,280.86,1525,Yes,No,No,Ad-hoc analysis
bq_job_00137,security-analytics-prod,analyst@company.com,finance_reporting,security_findings,2026-05-30,0.26,1.32,660,No,Yes,No,Dashboard refresh
bq_job_00138,data-platform-prod,data.engineer@company.com,curated_warehouse,security_findings,2026-05-20,10.19,51.99,2919,No,Yes,Yes,Join-heavy query
bq_job_00139,security-analytics-prod,analyst@company.com,audit_logs,transaction_fact,2026-05-18,46.9,239.19,765,Yes,No,No,Full table scan
bq_job_00140,security-analytics-prod,service-account@company.com,raw_ingestion,payments,2026-06-05,43.12,219.93,1791,No,No,No,Ad-hoc analysis
bq_job_00141,security-analytics-prod,data.engineer@company.com,raw_ingestion,control_results,2026-05-20,1.68,8.56,5745,Yes,No,No,Dashboard refresh
bq_job_00142,security-analytics-prod,data.engineer@company.com,security_events,security_findings,2026-05-21,18.05,92.04,177,Yes,No,No,Partition scan
bq_job_00143,security-analytics-prod,service-account@company.com,ml_features,control_results,2026-06-04,17.51,89.29,6110,Yes,Yes,Yes,Join-heavy query
bq_job_00144,security-analytics-prod,service-account@company.com,raw_ingestion,payments,2026-05-30,0.97,4.95,5467,Yes,No,Yes,Full table scan
bq_job_00145,fraud-detection-prod,service-account@company.com,audit_logs,events_daily,2026-06-05,1.75,8.94,168,Yes,No,No,Join-heavy query
bq_job_00146,security-analytics-prod,service-account@company.com,finance_reporting,control_results,2026-05-17,55.55,283.33,6192,Yes,No,Yes,Scheduled ELT
bq_job_00147,security-analytics-prod,service-account@company.com,curated_warehouse,customer_profile,2026-05-26,41.38,211.03,336,Yes,No,No,Dashboard refresh
bq_job_00148,fraud-detection-prod,data.engineer@company.com,security_events,customer_profile,2026-05-10,1.06,5.41,1173,No,No,No,Join-heavy query
bq_job_00149,security-analytics-prod,analyst@company.com,audit_logs,events_daily,2026-05-25,17.42,88.86,5502,Yes,No,No,Scheduled ELT
bq_job_00150,risk-reporting-prod,data.engineer@company.com,security_events,security_findings,2026-05-21,1.81,9.22,2270,Yes,Yes,No,Ad-hoc analysis
bq_job_00151,fraud-detection-prod,service-account@company.com,security_events,customer_profile,2026-05-18,0.12,0.59,3833,Yes,No,No,Full table scan
bq_job_00152,customer-analytics-prod,analyst@company.com,raw_ingestion,transaction_fact,2026-06-06,11.17,56.98,6389,No,No,No,Full table scan
bq_job_00153,risk-reporting-prod,analyst@company.com,customer_events,payments,2026-05-22,19.64,100.14,839,Yes,No,No,Full table scan
bq_job_00154,risk-reporting-prod,service-account@company.com,ml_features,security_findings,2026-05-13,4.19,21.35,5956,Yes,Yes,No,Full table scan
bq_job_00155,data-platform-prod,analyst@company.com,ml_features,customer_profile,2026-05-26,30.21,154.1,4663,No,No,No,Partition scan
bq_job_00156,risk-reporting-prod,service-account@company.com,raw_ingestion,audit_evidence,2026-05-26,3.95,20.12,6531,No,No,No,Scheduled ELT
bq_job_00157,data-platform-prod,service-account@company.com,curated_warehouse,security_findings,2026-05-09,0.7,3.55,3818,Yes,No,No,Partition scan
bq_job_00158,fraud-detection-prod,data.engineer@company.com,raw_ingestion,customer_profile,2026-05-14,11.94,60.89,2712,Yes,Yes,Yes,Full table scan
bq_job_00159,customer-analytics-prod,service-account@company.com,ml_features,access_logs,2026-05-18,14.41,73.47,5939,Yes,Yes,No,Partition scan
bq_job_00160,data-platform-prod,analyst@company.com,audit_logs,security_findings,2026-05-19,1.7,8.69,5418,Yes,Yes,No,Dashboard refresh
bq_job_00161,fraud-detection-prod,analyst@company.com,raw_ingestion,payments,2026-06-05,32.18,164.12,2878,No,No,No,Join-heavy query
bq_job_00162,customer-analytics-prod,service-account@company.com,security_events,transaction_fact,2026-05-28,9.33,47.6,6535,Yes,Yes,No,Scheduled ELT
bq_job_00163,customer-analytics-prod,analyst@company.com,curated_warehouse,customer_profile,2026-05-27,10.21,52.07,4000,Yes,Yes,No,Join-heavy query
bq_job_00164,fraud-detection-prod,service-account@company.com,security_events,control_results,2026-05-24,0.76,3.88,5727,Yes,Yes,No,Scheduled ELT
bq_job_00165,data-platform-prod,service-account@company.com,raw_ingestion,transaction_fact,2026-05-19,8.65,44.1,1522,Yes,No,No,Partition scan
bq_job_00166,fraud-detection-prod,analyst@company.com,ml_features,payments,2026-05-24,39.63,202.09,2472,Yes,Yes,No,Dashboard refresh
bq_job_00167,customer-analytics-prod,service-account@company.com,audit_logs,customer_profile,2026-06-03,43.04,219.48,3245,No,No,No,Partition scan
bq_job_00168,security-analytics-prod,analyst@company.com,security_events,control_results,2026-05-26,1.73,8.8,2493,No,Yes,Yes,Ad-hoc analysis
bq_job_00169,fraud-detection-prod,analyst@company.com,customer_events,access_logs,2026-05-30,11.44,58.33,102,Yes,No,Yes,Full table scan
bq_job_00170,risk-reporting-prod,analyst@company.com,curated_warehouse,security_findings,2026-05-27,7.64,38.95,4285,No,No,No,Partition scan
bq_job_00171,fraud-detection-prod,analyst@company.com,curated_warehouse,customer_profile,2026-05-25,24.05,122.67,3704,No,No,No,Partition scan
bq_job_00172,fraud-detection-prod,analyst@company.com,finance_reporting,customer_profile,2026-05-30,12.32,62.81,2697,No,Yes,No,Partition scan
bq_job_00173,risk-reporting-prod,service-account@company.com,audit_logs,security_findings,2026-06-02,1.31,6.67,3636,No,No,No,Scheduled ELT
bq_job_00174,customer-analytics-prod,service-account@company.com,customer_events,transaction_fact,2026-06-03,12.15,61.96,3096,Yes,Yes,No,Ad-hoc analysis
bq_job_00175,fraud-detection-prod,data.engineer@company.com,security_events,customer_profile,2026-05-15,39.82,203.09,6830,Yes,Yes,No,Scheduled ELT
bq_job_00176,security-analytics-prod,service-account@company.com,ml_features,audit_evidence,2026-06-04,15.96,81.41,3021,Yes,No,No,Dashboard refresh
bq_job_00177,security-analytics-prod,data.engineer@company.com,security_events,customer_profile,2026-05-23,1.68,8.55,2584,Yes,No,No,Dashboard refresh
bq_job_00178,customer-analytics-prod,analyst@company.com,security_events,audit_evidence,2026-05-19,0.11,0.57,5006,No,Yes,No,Ad-hoc analysis
bq_job_00179,security-analytics-prod,data.engineer@company.com,raw_ingestion,payments,2026-06-05,0.3,1.55,972,No,No,No,Scheduled ELT
bq_job_00180,fraud-detection-prod,service-account@company.com,audit_logs,security_findings,2026-06-07,5.83,29.75,2146,No,No,No,Full table scan
